GroupID,DisplayName,Type,Department,OwnerID,Description
GRP-001,TEAM-MGMT,Microsoft 365,MGMT,U001,Management Team for strategic oversight.
GRP-002,TEAM-OPS,Microsoft 365,OPS,U002,Core Operations and Logistics Team.
GRP-003,TEAM-SAL,Microsoft 365,SAL,U008,Sales and Commercial Management.
GRP-004,TEAM-SUP,Microsoft 365,SUP,U009,Customer Support and Issue Resolution.
GRP-005,TEAM-FIN,Microsoft 365,FIN,U003,Financial Control and Accounting.
GRP-006,TEAM-IT,Microsoft 365,IT,U007,IT Systems Governance and Security.
GRP-007,TEAM-HR,Microsoft 365,HR,U004,Human Resources and Personnel.
GRP-008,TEAM-WHS,Microsoft 365,WHS,U005,Warehouse and Inventory Management.
GRP-009,TEAM-DSP,Microsoft 365,DSP,U006,Dispatch and Route Coordination.
GRP-010,TEAM-COORDINATION,Microsoft 365,OPS,U002,Transversal coordination (OPS/WHS/DSP).
GRP-011,TEAM-ALL-STAFF,Microsoft 365,MGMT,U001,Global organization communications.
GRP-012,SEC-MFA-ENFORCED,Security,IT,U007,Group for tracking MFA enforcement status.
GRP-013,SEC-ADMINS-GLOBAL,Security,IT,U007,Privileged group for Global Administrators.
GRP-014,SEC-ADMINS-TEAMS,Security,IT,U007,Privileged group for Teams Administrators.
